,name,status,mass,targets
DB00055,Drotrecogin alfa,approved;investigational;withdrawn,-1.0,12
DB00056,Gemtuzumab ozogamicin,approved;investigational,-1.0,12
DB00057,Indium In-111 satumomab pendetide,experimental;withdrawn,-1.0,1
DB00058,Alpha-1-proteinase inhibitor,approved,-1.0,1
DB00059,Pegaspargase,approved;investigational,-1.0,1
DB00060,Interferon beta-1a,approved;investigational,-1.0,2
DB00061,Pegademase,approved,-1.0,2
DB00062,Human Serum Albumin,approved,-1.0,1
DB00063,Eptifibatide,approved;investigational,-1.0,1
DB00065,Infliximab,approved,-1.0,1
DB00066,Follitropin,approved,-1.0,1
DB00067,Vasopressin,approved,-1.0,3
DB00068,Interferon beta-1b,approved,-1.0,2
DB00069,Interferon alfacon-1,approved;investigational,-1.0,2
DB00070,Hyaluronidase (ovine),approved;investigational,-1.0,2
DB00071,Insulin Pork,approved,-1.0,14
DB00072,Trastuzumab,approved;investigational,-1.0,13
DB00073,Rituximab,approved,-1.0,1
DB00074,Basiliximab,approved;investigational,-1.0,13
DB00075,Muromonab,approved;investigational,-1.0,15
DB00076,Digoxin Immune Fab (Ovine),approved,-1.0,1
DB00078,Ibritumomab tiuxetan,approved;investigational,-1.0,12
DB00080,Daptomycin,approved;investigational,1620.693,2
DB00081,Tositumomab,approved;investigational,-1.0,11
DB00082,Pegvisomant,approved,-1.0,1
DB00083,Botulinum toxin type A,approved;investigational,-1.0,2
DB00085,Pancrelipase,approved;investigational,-1.0,3
DB00086,Streptokinase,approved;investigational,-1.0,2
DB00087,Alemtuzumab,approved;investigational,-1.0,11
DB00088,Alglucerase,approved;investigational,-1.0,1
DB00089,Capromab pendetide,approved,-1.0,1
DB00090,Laronidase,approved,-1.0,1
DB00091,Ciclosporin,approved;investigational;vet_approved,1202.635,4
DB00092,Alefacept,approved;investigational;withdrawn,-1.0,11
DB00093,Felypressin,experimental,1040.219,1
DB00094,Urofollitropin,approved;vet_approved,-1.0,1
DB00095,Efalizumab,approved;investigational,-1.0,11
DB00097,Choriogonadotropin alfa,approved,-1.0,2
DB00098,Antithymocyte immunoglobulin (rabbit),approved,-1.0,9
DB00099,Filgrastim,approved,-1.0,2
DB00100,Coagulation Factor IX (Recombinant),approved;investigational,-1.0,7
DB00102,Becaplermin,approved;investigational,-1.0,3
DB00103,Agalsidase beta,approved;investigational,-1.0,1
DB00104,Octreotide,approved;investigational,1019.25,3
DB00105,Interferon alfa-2b,approved,-1.0,2
DB00106,Abarelix,approved;investigational;withdrawn,1416.09,1
DB00107,Oxytocin,approved;vet_approved,-1.0,2
DB00108,Natalizumab,approved;investigational,-1.0,12
DB00109,Enfuvirtide,approved;investigational,-1.0,1
DB00110,Palivizumab,approved;investigational,-1.0,11
DB00111,Daclizumab,investigational;withdrawn,-1.0,12
DB00112,Bevacizumab,approved;investigational,-1.0,11
DB00113,Technetium Tc-99m arcitumomab,experimental,-1.0,1
DB00114,Pyridoxal phosphate,approved;investigational;nutraceutical,247.1419,66
DB00115,Cyanocobalamin,approved;nutraceutical,1355.3652,6
DB00116,Tetrahydrofolic acid,nutraceutical,445.4292,12
DB00117,Histidine,approved;nutraceutical,155.1546,4
DB00118,Ademetionine,approved;investigational;nutraceutical,398.44,8
DB00119,Pyruvic acid,approved;investigational;nutraceutical,88.0621,14
DB00120,L-Phenylalanine,approved;investigational;nutraceutical,165.1891,7
DB00121,Biotin,approved;investigational;nutraceutical,244.311,9
DB00122,Choline,approved;nutraceutical,104.1708,8
DB00123,L-Lysine,approved;nutraceutical,146.1876,5
DB00125,L-Arginine,approved;nutraceutical,174.201,9
DB00126,Ascorbic acid,approved;nutraceutical,176.1241,26
DB00127,Spermine,experimental;nutraceutical,202.3402,7
DB00128,Aspartic acid,approved;nutraceutical,133.1027,22
DB00129,Ornithine,approved;nutraceutical,132.161,14
DB00130,L-Glutamine,approved;investigational;nutraceutical,146.1445,3
DB00131,Adenosine phosphate,approved;investigational;nutraceutical,347.2212,16
DB00132,Alpha-Linolenic Acid,approved;investigational;nutraceutical,278.4296,10
DB00133,Serine,approved;nutraceutical,105.0926,7
DB00134,Methionine,approved;nutraceutical,149.211,5
DB00135,Tyrosine,approved;investigational;nutraceutical,181.1885,4
DB00136,Calcitriol,approved;nutraceutical,416.6365,2
DB00137,Lutein,approved;investigational;nutraceutical,568.886,0
DB00138,Cystine,approved;nutraceutical,240.3,4
DB00139,Succinic acid,approved;nutraceutical,118.088,26
DB00140,Riboflavin,approved;investigational;nutraceutical;vet_approved,376.3639,3
DB00141,N-Acetylglucosamine,approved;investigational;nutraceutical,221.2078,8
DB00142,Glutamic Acid,approved;nutraceutical,147.1293,70
DB00143,Glutathione,approved;investigational;nutraceutical,307.323,42
DB00144,Phosphatidyl serine,approved;investigational;nutraceutical,385.3041,10
DB00145,Glycine,approved;nutraceutical;vet_approved,75.0666,31
DB00146,Calcifediol,approved;nutraceutical,400.6371,1
DB00147,Pyridoxal,experimental;nutraceutical,167.162,1
DB00148,Creatine,approved;investigational;nutraceutical,131.1332,6
DB00149,L-Leucine,approved;nutraceutical,131.1729,6
DB00150,L-Tryptophan,approved;nutraceutical;withdrawn,204.2252,3
DB00151,L-Cysteine,approved;nutraceutical,121.158,13
DB00152,Thiamine,approved;investigational;nutraceutical;vet_approved,265.355,2
DB00153,Ergocalciferol,approved;nutraceutical,396.6484,2
DB00154,Dihomo-gamma-linolenic acid,investigational;nutraceutical,306.4828,2
DB00155,L-Citrulline,approved;investigational;nutraceutical,175.1857,13
DB00156,L-Threonine,approved;nutraceutical,119.1192,3
DB00157,NADH,approved;nutraceutical,665.441,144
DB00158,Folic acid,approved;nutraceutical;vet_approved,441.3975,3
DB00159,Icosapent,approved;nutraceutical,302.451,11
DB00160,L-Alanine,approved;nutraceutical,89.0932,13
DB00161,L-Valine,approved;nutraceutical,117.1463,3
DB00162,Vitamin A,approved;nutraceutical;vet_approved,286.4516,18
DB00163,Vitamin E,approved;nutraceutical;vet_approved,430.7061,10
DB00165,Pyridoxine,approved;investigational;nutraceutical;vet_approved,169.1778,1
DB00166,Lipoic Acid,approved;investigational;nutraceutical,206.326,3
DB00167,Isoleucine,approved;investigational;nutraceutical,131.1729,5
DB00168,Aspartame,investigational;nutraceutical,294.3031,3
DB00169,Cholecalciferol,approved;nutraceutical,384.6377,1
DB00170,Menadione,approved;nutraceutical,172.18,13
DB00171,ATP,investigational;nutraceutical,507.181,42
DB00172,Proline,approved;nutraceutical,115.1305,22
DB00173,Adenine,approved;nutraceutical,135.1267,12
DB00174,Asparagine,approved;investigational;nutraceutical,132.1179,6
DB00175,Pravastatin,approved,424.5277,1
DB00176,Fluvoxamine,approved;investigational,318.34,2
DB00177,Valsartan,approved;investigational,435.5188,1
DB00178,Ramipril,approved,416.5106,2
DB00179,Masoprocol,approved;investigational,302.3649,2
DB00180,Flunisolide,approved;investigational,434.4977,1
DB00181,Baclofen,approved,213.661,2
DB00182,Amphetamine,approved;illicit;investigational,135.2062,12
DB00183,Pentagastrin,approved,767.9,1
DB00184,Nicotine,approved,162.2316,13
DB00185,Cevimeline,approved,199.313,2
DB00186,Lorazepam,approved,321.158,2
DB00187,Esmolol,approved,295.374,1
DB00188,Bortezomib,approved;investigational,384.237,2
DB00189,Ethchlorvynol,approved;illicit;withdrawn,144.6,1
DB00190,Carbidopa,approved,226.2292,1
DB00191,Phentermine,approved;illicit,149.2328,6
DB00192,Indecainide,approved,308.4174,1
DB00193,Tramadol,approved;investigational,263.3752,10
DB00194,Vidarabine,approved;investigational,267.2413,4
DB00195,Betaxolol,approved;investigational,307.4278,2
DB00196,Fluconazole,approved;investigational,306.2708,1
DB00197,Troglitazone,investigational;withdrawn,441.54,9
DB00198,Oseltamivir,approved,312.4045,4
DB00199,Erythromycin,approved;investigational;vet_approved,733.9268,4
DB00200,Hydroxocobalamin,approved,1346.3551,9
DB00201,Caffeine,approved,194.1906,11
DB00202,Succinylcholine,approved,290.399,5
DB00203,Sildenafil,approved;investigational,474.576,3
DB00204,Dofetilide,approved;investigational,441.565,3
DB00205,Pyrimethamine,approved;investigational;vet_approved,248.711,3
DB00206,Reserpine,approved;investigational,608.6787,3
DB00207,Azithromycin,approved,748.9845,3
DB00208,Ticlopidine,approved,263.786,1
DB00209,Trospium,approved,392.518,1
DB00210,Adapalene,approved,412.5201,7
DB00211,Midodrine,approved,254.2823,3
DB00212,Remikiren,experimental,630.838,1
DB00213,Pantoprazole,approved,383.37,2
DB00214,Torasemide,approved,348.42,2
DB00215,Citalopram,approved,324.3919,2
DB00216,Eletriptan,approved;investigational,382.519,7
DB00217,Bethanidine,approved,177.2462,3
DB00218,Moxifloxacin,approved;investigational,401.4314,3
DB00219,Oxyphenonium,approved,348.4996,1
DB00220,Nelfinavir,approved,567.782,1
DB00221,Isoetarine,approved,239.3107,2
DB00222,Glimepiride,approved,490.62,3
DB00223,Diflorasone,approved,410.4515,1
DB00224,Indinavir,approved,613.7895,1
DB00225,Gadodiamide,approved;investigational,573.66,0
DB00226,Guanadrel,approved,213.2768,1
DB00227,Lovastatin,approved;investigational,404.5396,3
DB00228,Enflurane,approved;investigational;vet_approved,184.492,7
DB00229,Cefotiam,approved;investigational,525.628,1
DB00230,Pregabalin,approved;illicit;investigational,159.2261,1
DB00231,Temazepam,approved;investigational,300.74,21
DB00232,Methyclothiazide,approved,360.237,4
DB00233,Aminosalicylic Acid,approved,153.1354,5
DB00234,Reboxetine,approved;experimental,313.397,1
DB00235,Milrinone,approved,211.2194,1
DB00236,Pipobroman,approved,356.054,1
DB00237,Butabarbital,approved;illicit,212.2456,5
DB00238,Nevirapine,approved,266.2979,1
DB00239,Oxiconazole,approved,429.12,3
DB00240,Alclometasone,approved,408.916,1
DB00241,Butalbital,approved;illicit,224.2563,11
DB00242,Cladribine,approved;investigational,285.687,10
DB00243,Ranolazine,approved;investigational,427.5365,6
DB00244,Mesalazine,approved,153.1354,8
DB00245,Benzatropine,approved,307.4293,5
DB00246,Ziprasidone,approved,412.936,25
DB00247,Methysergide,approved,353.458,8
DB00248,Cabergoline,approved,451.6043,23
DB00249,Idoxuridine,approved;investigational,354.0985,2
DB00250,Dapsone,approved;investigational,248.301,2
DB00251,Terconazole,approved,532.462,1
DB00252,Phenytoin,approved;vet_approved,252.268,5
DB00253,Medrysone,approved,344.4877,1
DB00254,Doxycycline,approved;investigational;vet_approved,444.4346,1
DB00255,Diethylstilbestrol,approved;investigational,268.356,9
DB00256,Lymecycline,approved;investigational,602.6328,2
DB00257,Clotrimazole,approved;vet_approved,344.837,5
DB00258,Calcium acetate,approved;investigational,158.166,1
DB00259,Sulfanilamide,approved,172.205,1
DB00260,Cycloserine,approved,102.0919,2
DB00261,Anagrelide,approved,256.088,1
DB00262,Carmustine,approved;investigational,214.05,3
DB00263,Sulfisoxazole,approved;vet_approved,267.304,1
DB00264,Metoprolol,approved;investigational,267.3639,2
DB00265,Crotamiton,approved,203.2802,0
DB00266,Dicoumarol,approved,336.295,3
DB00267,Cefmenoxime,approved,511.558,2
DB00268,Ropinirole,approved;investigational,260.3746,4
DB00269,Chlorotrianisene,investigational;withdrawn,380.864,1
DB00270,Isradipine,approved;investigational,371.3871,7
DB00271,Diatrizoate,approved;vet_approved,613.9136,0
DB00272,Betazole,approved,111.1451,1
DB00273,Topiramate,approved,339.362,9
DB00274,Cefmetazole,approved;investigational,471.534,6
DB00275,Olmesartan,approved;investigational,446.5016,1
DB00276,Amsacrine,approved;investigational,393.459,5
DB00277,Theophylline,approved,180.164,14
DB00278,Argatroban,approved;investigational,508.64,1
DB00279,Liothyronine,approved;vet_approved,650.9735,3
DB00280,Disopyramide,approved,339.4745,8
DB00281,Lidocaine,approved;vet_approved,234.3373,7
DB00282,Pamidronic acid,approved,235.0695,2
DB00283,Clemastine,approved;investigational,343.89,1
DB00284,Acarbose,approved;investigational,645.608,4
DB00285,Venlafaxine,approved,277.4018,3
DB00286,Conjugated estrogens,approved,-1.0,2
DB00287,Travoprost,approved,500.5477,1
DB00288,Amcinonide,approved,502.5717,2
DB00289,Atomoxetine,approved,255.3547,5
DB00290,Bleomycin,approved;investigational,1415.552,3
DB00291,Chlorambucil,approved,304.212,1
DB00292,Etomidate,approved,244.289,3
DB00293,Raltitrexed,approved;investigational,458.488,2
DB00294,Etonogestrel,approved;investigational,324.4565,2
DB00295,Morphine,approved;investigational,285.3377,4
DB00296,Ropivacaine,approved,274.4011,1
DB00297,Bupivacaine,approved;investigational,288.4277,2
DB00298,Dapiprazole,approved,325.4512,3
DB00299,Penciclovir,approved,253.2578,2
DB00300,Tenofovir disoproxil,approved;investigational,519.448,2
DB00301,Flucloxacillin,approved;investigational,453.872,1
DB00302,Tranexamic acid,approved,157.2102,1
DB00303,Ertapenem,approved;investigational,475.515,8
DB00304,Desogestrel,approved,310.473,2
DB00305,Mitomycin,approved,334.3272,1
DB00306,Talbutal,approved;illicit,224.2563,11
DB00307,Bexarotene,approved;investigational,348.4779,3
DB00308,Ibutilide,approved,384.576,10
DB00309,Vindesine,approved;investigational,753.9261,1
DB00310,Chlorthalidone,approved,338.766,2
DB00311,Ethoxzolamide,withdrawn,258.317,5
DB00312,Pentobarbital,approved;investigational;vet_approved,226.2722,13
DB00313,Valproic Acid,approved;investigational,144.2114,9
DB00314,Capreomycin,approved,1321.4123,1
DB00315,Zolmitriptan,approved;investigational,287.3568,4
DB00316,Acetaminophen,approved,151.1626,6
DB00317,Gefitinib,approved;investigational,446.902,1
DB00318,Codeine,approved;illicit,299.3642,3
DB00319,Piperacillin,approved,517.555,4
DB00320,Dihydroergotamine,approved;investigational,583.6774,4
DB00321,Amitriptyline,approved,277.4033,28
DB00322,Floxuridine,approved,246.1924,1
DB00323,Tolcapone,approved;withdrawn,273.2408,1
DB00324,Fluorometholone,approved;investigational,376.4617,1
DB00325,Nitroprusside,approved;investigational,215.938,1
DB00326,Calcium glucoheptonate,approved,490.425,0
DB00327,Hydromorphone,approved;illicit,285.3377,3
DB00328,Indometacin,approved;investigational,357.788,9
DB00330,Ethambutol,approved,204.3098,3
DB00331,Metformin,approved,129.1636,3
DB00332,Ipratropium,approved;experimental,332.463,3
DB00333,Methadone,approved;illicit,309.4452,7
DB00334,Olanzapine,approved;investigational,312.432,20
DB00335,Atenolol,approved,266.3361,2
DB00336,Nitrofural,approved;investigational;vet_approved,198.1362,4
DB00337,Pimecrolimus,approved;investigational,810.46,2
DB00338,Omeprazole,approved;investigational;vet_approved,345.416,2
DB00339,Pyrazinamide,approved;investigational,123.1127,1
DB00340,Metixene,approved,309.468,5
DB00341,Cetirizine,approved,388.888,1
DB00342,Terfenadine,approved;withdrawn,471.6734,7
DB00343,Diltiazem,approved;investigational,414.518,2
DB00344,Protriptyline,approved,263.3767,2
DB00345,Aminohippuric acid,approved;investigational,194.1873,0
DB00346,Alfuzosin,approved;investigational,389.4488,4
DB00347,Trimethadione,approved,143.1406,1
DB00348,Nitisinone,approved;investigational,329.2281,1
DB00349,Clobazam,approved;illicit,300.74,1
DB00350,Minoxidil,approved;investigational,209.2483,3
DB00351,Megestrol acetate,approved;investigational;vet_approved,384.516,2
DB00352,Tioguanine,approved,167.192,1
DB00353,Methylergometrine,approved,339.4314,2
DB00354,Buclizine,approved,433.028,2
DB00355,Aztreonam,approved,435.433,2
DB00356,Chlorzoxazone,approved,169.565,1
DB00357,Aminoglutethimide,approved;investigational,232.2783,2
DB00358,Mefloquine,approved;investigational,378.3122,3
DB00359,Sulfadiazine,approved;investigational;vet_approved,250.277,1
DB00360,Sapropterin,approved;investigational,241.2471,4
DB00361,Vinorelbine,approved;investigational,778.947,1
DB00362,Anidulafungin,approved;investigational,1140.2369,1
DB00363,Clozapine,approved,326.823,27
DB00364,Sucralfate,approved,1448.682,4
DB00365,Grepafloxacin,approved;investigational;withdrawn,359.3947,2
DB00366,Doxylamine,approved;vet_approved,270.3694,3
DB00367,Levonorgestrel,approved;investigational,312.4458,5
DB00368,Norepinephrine,approved,169.1778,12
DB00369,Cidofovir,approved,279.187,1
DB00370,Mirtazapine,approved,265.3529,7
DB00371,Meprobamate,approved;illicit,218.2502,7
DB00372,Thiethylperazine,approved;withdrawn,399.616,3
DB00373,Timolol,approved,316.42,3
DB00374,Treprostinil,approved;investigational,390.5131,3
DB00375,Colestipol,approved,-1.0,1
DB00376,Trihexyphenidyl,approved,301.4662,5
DB00377,Palonosetron,approved;investigational,296.414,1
DB00378,Dydrogesterone,approved;investigational;withdrawn,312.4458,1
DB00379,Mexiletine,approved;investigational,179.2588,2
DB00380,Dexrazoxane,approved;withdrawn,268.2691,2
DB00381,Amlodipine,approved,408.876,9
DB00382,Tacrine,approved;investigational;withdrawn,198.2637,3
DB00383,Oxyphencyclimine,approved,344.4479,3
DB00384,Triamterene,approved,253.2626,4
DB00385,Valrubicin,approved,723.651,2
DB00387,Procyclidine,approved,287.4397,4
DB00388,Phenylephrine,approved,167.205,3
DB00389,Carbimazole,approved;investigational,186.232,1
DB00390,Digoxin,approved,780.9385,1
DB00391,Sulpiride,approved;investigational,341.426,4
DB00392,Profenamine,approved,312.472,3
DB00393,Nimodipine,approved;investigational,418.4403,10
DB00394,Beclomethasone dipropionate,approved;investigational,521.042,1
DB00395,Carisoprodol,approved,260.33,5
DB00396,Progesterone,approved;vet_approved,314.4617,10
DB00397,Phenylpropanolamine,approved;vet_approved;withdrawn,151.209,4
DB00398,Sorafenib,approved;investigational,464.825,10
DB00399,Zoledronic acid,approved,272.0896,3
DB00400,Griseofulvin,approved;investigational;vet_approved,352.766,3
DB00401,Nisoldipine,approved,388.4144,5
DB00402,Eszopiclone,approved;investigational,388.808,5
DB00403,Ceruletide,approved,1352.405,1
DB00404,Alprazolam,approved;illicit;investigational,308.765,8
DB00405,Dexbrompheniramine,approved,319.239,1
DB00406,Gentian violet cation,approved,372.5258,1
DB00407,Ardeparin,approved;investigational;withdrawn,-1.0,2
DB00408,Loxapine,approved,327.808,33
DB00409,Remoxipride,approved;withdrawn,371.269,5
DB00410,Mupirocin,approved;investigational;vet_approved,500.6222,1
DB00411,Carbamoylcholine,approved,147.1955,6
DB00412,Rosiglitazone,approved;investigational,357.427,7
DB00413,Pramipexole,approved;investigational,211.327,5
DB00414,Acetohexamide,approved;investigational;withdrawn,324.395,1
DB00415,Ampicillin,approved;vet_approved,349.405,8
DB00416,Metocurine Iodide,approved;withdrawn,906.6279,1
DB00417,Phenoxymethylpenicillin,approved;vet_approved,350.39,5
DB00418,Secobarbital,approved;vet_approved,238.2829,11
DB00419,Miglustat,approved,219.278,1
DB00420,Promazine,approved;vet_approved,284.419,14
DB00421,Spironolactone,approved,416.573,12
DB00422,Methylphenidate,approved;investigational,233.3062,3
DB00423,Methocarbamol,approved;vet_approved,241.2405,1
DB00424,Hyoscyamine,approved,289.3694,4
DB00425,Zolpidem,approved,307.3895,4
DB00426,Famciclovir,approved;investigational,321.3318,2
DB00427,Triprolidine,approved,278.3914,1
DB00428,Streptozocin,approved;investigational,265.2206,4
DB00429,Carboprost tromethamine,approved,489.6426,1
DB00430,Cefpiramide,approved,612.637,7
DB00431,Lindane,approved;withdrawn,290.83,10
DB00432,Trifluridine,approved;investigational,296.1999,2
DB00433,Prochlorperazine,approved;vet_approved,373.943,4
DB00434,Cyproheptadine,approved,287.3981,7
DB00435,Nitric Oxide,approved,30.0061,3
DB00436,Bendroflumethiazide,approved,421.415,5
DB00437,Allopurinol,approved,136.1115,1
DB00438,Ceftazidime,approved,546.576,9
DB00439,Cerivastatin,approved;withdrawn,459.5503,1
DB00440,Trimethoprim,approved;vet_approved,290.3177,2
DB00441,Gemcitabine,approved,263.1981,4
DB00442,Entecavir,approved;investigational,277.2792,1
DB00443,Betamethasone,approved;vet_approved,392.4611,1
DB00444,Teniposide,approved,656.654,1
DB00445,Epirubicin,approved,543.5193,3
DB00446,Chloramphenicol,approved;vet_approved,323.129,3
DB00447,Loracarbef,approved;investigational;withdrawn,349.769,2
DB00448,Lansoprazole,approved;investigational,369.361,2
DB00449,Dipivefrin,approved,351.4373,5
DB00450,Droperidol,approved;vet_approved,379.4274,2
DB00451,Levothyroxine,approved,776.87,4
DB00452,Framycetin,approved,614.6437,3
DB00453,Clomocycline,experimental,508.906,3
DB00454,Meperidine,approved,247.3327,12
DB00455,Loratadine,approved;investigational,382.883,2
DB00456,Cefalotin,approved;investigational;vet_approved,396.438,8
DB00457,Prazosin,approved,383.4011,7
DB00458,Imipramine,approved,280.4073,24
DB00459,Acitretin,approved,326.4293,7
DB00460,Verteporfin,approved;investigational,718.7942,0
DB00461,Nabumetone,approved,228.2863,2
DB00462,Methscopolamine bromide,approved,398.291,3
DB00463,Metharbital,withdrawn,198.2191,11
DB00464,Sodium Tetradecyl Sulfate,approved;investigational,316.43,2
DB00465,Ketorolac,approved,255.2686,2
DB00466,Picrotoxin,experimental,602.5832,5
DB00467,Enoxacin,approved;investigational,320.3189,3
DB00468,Quinine,approved,324.4168,3
DB00469,Tenoxicam,approved,337.37,2
DB00470,Dronabinol,approved;illicit,314.4617,2
DB00471,Montelukast,approved,586.183,2
DB00472,Fluoxetine,approved;vet_approved,309.3261,7
DB00473,Hexylcaine,approved;withdrawn,261.3593,2
DB00474,Methohexital,approved,262.3043,1
DB00475,Chlordiazepoxide,approved;illicit;investigational,299.755,1
DB00476,Duloxetine,approved,297.415,3
DB00477,Chlorpromazine,approved;investigational;vet_approved,318.864,24
DB00478,Rimantadine,approved;investigational,179.3018,1
DB00479,Amikacin,approved;investigational;vet_approved,585.6025,1
DB00480,Lenalidomide,approved,259.2606,4
DB00481,Raloxifene,approved;investigational,473.583,4
DB00482,Celecoxib,approved;investigational,381.372,7
DB00483,Gallamine Triethiodide,approved,891.5291,5
DB00484,Brimonidine,approved,292.135,3
DB00485,Dicloxacillin,approved;investigational;vet_approved,470.326,6
DB00486,Nabilone,approved;investigational,372.5408,2
DB00487,Pefloxacin,approved,333.3574,4
DB00488,Altretamine,approved,210.2794,1
DB00489,Sotalol,approved,272.364,3
DB00490,Buspirone,approved;investigational,385.5031,2
DB00491,Miglitol,approved,207.2243,4
DB00492,Fosinopril,approved,563.672,1
DB00493,Cefotaxime,approved,455.465,13
DB00494,Entacapone,approved;investigational,305.286,1
DB00495,Zidovudine,approved,267.2413,2
DB00496,Darifenacin,approved;investigational,426.55,5
DB00497,Oxycodone,approved;illicit;investigational,315.3636,4
DB00498,Phenindione,approved;investigational,222.2387,1
DB00499,Flutamide,approved;investigational,276.2118,3
DB00500,Tolmetin,approved,257.2845,2
DB00501,Cimetidine,approved;investigational,252.339,1
DB00502,Haloperidol,approved,375.864,7
DB00503,Ritonavir,approved;investigational,720.944,2
DB00504,Levallorphan,approved,283.4079,1
DB00505,Tridihexethyl,withdrawn,318.5166,3
DB00507,Nitazoxanide,approved;investigational;vet_approved,307.282,1
DB00508,Triflupromazine,approved;vet_approved,352.417,5
DB00509,Dextrothyroxine,approved;investigational,776.87,3
DB00511,Acetyldigitoxin,approved,806.9757,1
DB00512,Vancomycin,approved,1449.254,1
DB00513,Aminocaproic Acid,approved;investigational,131.1729,3
DB00514,Dextromethorphan,approved,271.404,16
DB00515,Cisplatin,approved,300.05,5
DB00516,Bentoquatam,approved,-1.0,0
DB00517,Anisotropine methylbromide,approved,362.345,3
DB00518,Albendazole,approved;vet_approved,265.331,4
DB00519,Trandolapril,approved,430.5372,1
DB00520,Caspofungin,approved,1093.3131,1
DB00521,Carteolol,approved,292.3734,2
DB00522,Bentiromide,investigational;withdrawn,404.4153,1
DB00523,Alitretinoin,approved;investigational,300.4351,9
DB00524,Metolazone,approved,365.835,1
DB00525,Tolnaftate,approved;investigational;vet_approved,307.409,1
DB00526,Oxaliplatin,approved;investigational,397.294,1
DB00527,Cinchocaine,approved;vet_approved,343.4632,3
DB00528,Lercanidipine,approved;investigational,611.7272,1
DB00529,Foscarnet,approved,126.0053,2
DB00530,Erlotinib,approved;investigational,393.4357,2
DB00531,Cyclophosphamide,approved;investigational,261.086,2
DB00532,Mephenytoin,approved;investigational;withdrawn,218.2518,2
DB00533,Rofecoxib,approved;investigational;withdrawn,314.356,2
DB00534,Chlormerodrin,approved;withdrawn,367.2,2
DB00535,Cefdinir,approved,395.414,3
DB00536,Guanidine,approved,59.0705,8
DB00537,Ciprofloxacin,approved;investigational,331.3415,11
DB00538,Gadoversetamide,approved;investigational,661.76,0
DB00539,Toremifene,approved;investigational,405.96,2
DB00540,Nortriptyline,approved,263.3767,20
DB00541,Vincristine,approved;investigational,824.972,2
DB00542,Benazepril,approved;investigational,424.4895,1
DB00543,Amoxapine,approved,313.781,25
DB00544,Fluorouracil,approved,130.0772,3
DB00545,Pyridostigmine,approved;investigational,181.2117,3
DB00546,Adinazolam,experimental,351.833,16
DB00547,Desoximetasone,approved,376.4617,1
DB00548,Azelaic acid,approved,188.2209,5
DB00549,Zafirlukast,approved;investigational,575.675,1
DB00550,Propylthiouracil,approved;investigational,170.232,1
DB00551,Acetohydroxamic acid,approved,75.0666,2
